SCHL	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed	pct_ts	stabbr	pct_tsg	dboost	boost	pct_ts_all	pct_tsg_all	gths_mean	gthsftfy_mean	gmajor
		10	260	62675.52182	43324.797	96000	0.344778761	0.337841992	0.949154991	0.015165231	AL	1			0.014341777	1	0.847602213	0.886681416	Agriculture and natural resources
		10	1472	89128.57143	61892.56715	114905.1233	0.326378641	0.32414245	0.970527329	0.09867264	AL	1			0.090002034	1	0.89896151	0.937890606	Architecture and engineering
		10	291	45088.57143	31457.14286	61892.56715	0.223755917	0.219196464	0.960031851	0.01686897	AL	1			0.020945585	1	0.593469624	0.722900672	Arts
		10	705	55703.31043	39845.71429	104459.203	0.561992866	0.570516501	0.977936405	0.047220904	AL	1			0.047992928	1	0.785740532	0.831223089	Biology and life sciences
		10	3859	57671.42857	39694.49715	85000	0.218895785	0.209457291	0.960149366	0.268115908	AL	1			0.255803752	1	0.805110617	0.826611773	Business
		10	455	45962.04934	31457.14286	67898.48197	0.218467455	0.237916667	0.948306041	0.03280387	AL	1			0.033065885	1	0.734166667	0.733093319	Communications and journalism
		10	759	67050.28107	46000	94371.42857	0.294811078	0.312716041	0.975691013	0.052141552	AL	1			0.049423579	1	0.841105239	0.870032431	"Computers, statistics, and mathematics"
		10	2306	47450.96815	38167.08307	56734.85322	0.519382047	0.505412384	0.968364918	0.148853448	AL	1			0.163271076	1	0.801930704	0.845489093	Education
		10	1285	56734.85322	44040	78344.40228	0.325424224	0.327958691	0.969350756	0.08727456	AL	1			0.088796782	1	0.820737679	0.88184006	Health
		10	945	51577.13929	34680.45541	75000	0.467701342	0.451120522	0.957890549	0.06078976	AL	1			0.062461458	1	0.733403917	0.771591311	Humanities and liberal arts
		10	341	49514.05372	33009.36914	73400	0.250596019	0.247945594	0.967709577	0.022517012	AL	1			0.023337902	1	0.694129593	0.747288115	"Industrial arts, consumer <br> services, and recreation"
		10	464	50000	33554.28571	75000	0.278409091	0.273339933	0.947949586	0.029643329	AL	1			0.028948081	1	0.760680018	0.755749728	Law and public policy
		10	431	75210.62619	42991.42857	114905.1233	0.543046664	0.54589619	0.966479477	0.029033364	AL	1			0.02801948	1	0.839348583	0.857119745	Physical sciences
		10	738	43872.86528	31457.14286	61892.56715	0.432060265	0.408768191	0.93410501	0.04970505	AL	1			0.051463193	1	0.693423857	0.710380301	Psychology and social work
		10	678	55574.28571	38797.14286	90000	0.412949992	0.39896129	0.942195434	0.041194403	AL	1			0.042126489	1	0.777292291	0.828229353	Social sciences
	General Agriculture	11	34	51577.13929	43324.797	85982.85714	0.273354232	0.260011442	1	0.002140579	AL	0.141150443			0.001926639	0.134337535	0.917906179	0.926645768	Agriculture and natural resources
	Animal Sciences	11	55	82523.42286	44040	109000	0.66964996	0.626730663	0.955339092	0.003373928	AL	0.222477876			0.002985298	0.208154012	0.914159129	0.887231504	Agriculture and natural resources
	Plant Science and Agronomy	11	41	65287.0019	45000	88790.32258	0.286568014	0.321198038	0.939035284	0.002357992	AL	0.155486726			0.002134403	0.148824162	0.886909373	0.886169607	Agriculture and natural resources
	Forestry	11	57	68157.14286	44564.28571	103154.2786	0.177880008	0.184139055	0.958206943	0.003500753	AL	0.230840708			0.003043715	0.212227175	0.896252037	0.894000383	Agriculture and natural resources
	Natural Resources Management	11	35	54525.71429	36700	83885.71429	0.184470377	0.159136213	0.959463673	0.00149505	AL	0.098584071			0.001658805	0.115662465	0.717940199	0.902603232	Agriculture and natural resources
	Architecture	11	62	60000	36560.72106	87000	0.351599526	0.325522567	0.951741294	0.00453078	AL	0.045917292			0.004139298	0.045991158	0.812674744	0.765402844	Architecture and engineering
	General Engineering	11	159	82523.42286	61892.56715	110375.0781	0.359752104	0.351264516	0.966742817	0.013317891	AL	0.134970452			0.012006774	0.133405587	0.919126084	0.951982667	Architecture and engineering
	Aerospace Engineering	11	73	100000	73121.44213	121000	0.485914465	0.480225194	1	0.004597212	AL	0.046590546			0.003915552	0.04350515	0.918789585	0.952853598	Architecture and engineering
	Chemical Engineering	11	100	102370.019	72207.995	135000	0.382545541	0.401329901	0.962463096	0.005635963	AL	0.057117792			0.005138439	0.057092472	0.875804376	0.908322419	Architecture and engineering
	Civil Engineering	11	164	81000	57671.42857	117440	0.314022672	0.320513515	0.989808988	0.010714303	AL	0.10858433			0.010173822	0.113039911	0.843128758	0.924030814	Architecture and engineering
	Electrical Engineering	11	326	97000	69000	115000	0.286843314	0.302631952	0.976118229	0.021905706	AL	0.222003849			0.019452109	0.216129664	0.943139644	0.962873334	Architecture and engineering
	Industrial and Manufacturing Engineering	11	85	96000	65000	115342.8571	0.369938724	0.330613121	0.988302211	0.005584965	AL	0.056600951			0.005132377	0.057025117	0.889294535	0.949056831	Architecture and engineering
	Mechanical Engineering	11	279	91225.71429	68000	120000	0.332935435	0.325951449	0.972615979	0.019112888	AL	0.193699974			0.017593807	0.195482322	0.917995302	0.961310255	Architecture and engineering
	Miscellaneous Engineering	11	48	73121.44213	60000	94013.28273	0.066765894	0.076893354	0.952343902	0.003155844	AL	0.031982971			0.002852484	0.031693547	0.910355487	0.959812885	Architecture and engineering
	Engineering and Industrial Management	11	40	106548.3871	68081.82386	135000	0.263491006	0.255243627	0.847971238	0.002014426	AL	0.020415241			0.001707853	0.018975716	1	0.965023318	Architecture and engineering
	Miscellaneous Engineering Technologies	11	48	57452.56167	43872.86528	88790.32258	0.170027679	0.166433784	0.926241771	0.003394059	AL	0.034397166			0.003549623	0.039439362	0.725818972	0.823250297	Architecture and engineering
	Fine Arts	11	68	50140.41746	33426.94497	68157.14286	0.234464173	0.238930481	0.951306839	0.004232844	AL	0.250924858			0.005152767	0.246007314	0.690053476	0.766169943	Arts
	Music	11	59	45088.57143	31977.82636	67050.28107	0.388335409	0.42063281	0.962876172	0.003233012	AL	0.191654402			0.00414536	0.197910911	0.60622175	0.747820673	Arts
	Commercial Art and Graphic Design	11	108	44917.45731	32000	60000	0.103683775	0.096716948	0.981328791	0.006484814	AL	0.38442261			0.007453051	0.355829189	0.603445726	0.71647351	Arts
	Environmental Science	11	32	56407.96964	39198.62586	72207.995	0.255189593	0.308611249	0.994183106	0.002424424	AL	0.051342172			0.002214312	0.0461383	0.912394226	0.834486576	Biology and life sciences
